Date,1. open,2. high,3. low,4. close,5. volume
2026-02-05,286.1,291.81,285.1,289.89,5532797.0
2026-02-04,291.41,291.41,278.96,289.05,8708033.0
2026-02-03,312.4,312.975,283.85,294.31,11296020.0
2026-02-02,307.51,316.64,306.41,314.73,4581189.0
2026-01-30,307.6,307.783,299.73,306.7,5940669.0
2026-01-29,317.86,319.9,303.47,309.24,10124929.0
2026-01-28,294.17,295.95,291.2601,294.16,5790347.0
2026-01-27,297.16,297.33,293.27,293.86,2944722.0
2026-01-26,293.16,296.815,293.14,296.33,3726890.0
2026-01-23,294.07,294.335,289.79,292.44,3298424.0
2026-01-22,299.42,300.93,293.53,294.67,3670152.0
2026-01-21,292.76,297.67,292.51,297.54,5185023.0
2026-01-20,301.35,301.6,290.16,291.35,7211706.0
2026-01-16,301.0,307.45,300.78,305.67,6199635.0
2026-01-15,309.0,311.88,297.04,297.95,4932480.0
2026-01-14,303.5,309.19,301.5,309.03,3779045.0
2026-01-13,311.6,312.81,301.87,303.16,4507760.0
2026-01-12,302.62,312.33,299.96,312.18,3895197.0
2026-01-09,302.61,307.0,302.0,304.22,2718828.0
2026-01-08,295.0,303.67,295.0,302.72,3343273.0
2026-01-07,302.5,304.31,296.345,296.73,2833274.0
2026-01-06,295.0,303.04,294.42,302.47,4147315.0
2026-01-05,295.77,299.19,294.25,294.97,4189960.0
2026-01-02,297.56,297.5699,289.0,291.5,4662804.0
2025-12-31,301.76,301.85,295.87,296.21,3430133.0
2025-12-30,306.15,306.235,302.0,302.05,1883651.0
2025-12-29,304.65,310.0,303.75,305.74,4664711.0
2025-12-26,304.69,305.75,303.665,305.09,2814732.0
2025-12-24,303.76,305.15,302.3,304.56,1210642.0
2025-12-23,301.34,305.13,300.65,303.78,2923037.0
2025-12-22,301.03,303.18,298.32,302.79,2612100.0
2025-12-19,300.35,306.86,299.1,300.98,11031341.0
2025-12-18,303.15,304.45,295.7,300.45,5411669.0
2025-12-17,303.79,306.25,303.08,303.32,3130954.0
2025-12-16,307.315,307.38,300.42,303.18,3366878.0
2025-12-15,308.985,311.3629,306.35,308.66,3566732.0
2025-12-12,310.57,311.05,303.33,309.24,2953374.0
2025-12-11,312.0,313.44,308.4,310.74,2755749.0
2025-12-10,310.23,314.69,306.6513,312.67,3411524.0
2025-12-09,309.63,313.97,308.75,310.48,2914275.0
2025-12-08,309.62,315.3454,307.95,309.18,3615794.0
2025-12-05,308.59,311.83,307.18,307.94,2344667.0
2025-12-04,302.875,309.61,302.54,307.99,2962463.0
2025-12-03,302.88,303.97,298.905,302.62,3953390.0
2025-12-02,307.0,310.4675,301.57,301.78,4261100.0
2025-12-01,306.505,307.12,302.8,305.67,3166555.0
